,cross_val_scores,accuracy_scores,error_scores,f1_scores,fpr_scores,kappa_scores,mcc_scores,ppv_scores,sensitivity_scores,specificity_scores,threat_scores,balanced_accuracy_scores
DecisionTree,0.9997439949379953,0.999829344255301,0.0001706557446989887,0.999829344255301,0.0001706587892334465,0.9996586824215331,0.9996586824215331,0.999829344255301,0.999829344255301,0.9998293412107666,0.9996587406614774,0.9998293427330338
RandomForest,0.999857768672211,0.9999573360638252,4.2663936174802686e-05,0.9999573360714359,4.24844931599966e-05,0.9999146706361367,0.9999146742763761,0.9999573397193764,0.9999573360638252,0.99995751550684,0.9999146742764398,0.9999574257853325
LightGBM,0.999829327261517,0.9998720081914757,0.00012799180852429703,0.9998720082585728,0.0001274534794799898,0.9997440120929303,0.9997440448494488,0.9998720410857983,0.9998720081914757,0.99987254652052,0.9997440448499983,0.9998722773559978
XGBM,0.9998293191700773,0.9999146721276505,8.532787234949435e-05,0.9999146721577822,8.49689863199932e-05,0.9998293413337801,0.9998293558934854,0.9999146867486018,0.9999146721276505,0.99991503101368,0.9998293558937348,0.9999148515706653
NB,0.9921779000124609,0.9921071718076709,0.00789282819232906,0.9921071868064223,0.007877291241139143,0.9842145569567099,0.984241676747695,0.9921345389644617,0.9921071718076709,0.9921227087588609,0.98433795735405,0.9921149402832659
