pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,malfind.ninjections,malfind.commitCharge,malfind.protection,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,apihooks.nhooks,apihooks.nhooksInline,apihooks.nhooksUsermode,Class
69,23,19.08695652,0,-0.04347826087,3635,52.68115942,25863,397.8923077,0,0,0,1,454,1689,168,429,0,0,0,0,0,0,0.0,0.0,0.0,3,69,72,4,13,72,72,0.04166666667,0.9583333333,1,0.05555555556,0.1805555556,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,48,0,21,41567,41266,41414,1
63,20,21.07936508,0,-0.06349206349,2837,48.9137931,14,4.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,63,66,66,66,66,66,0.04545454545,0.9545454545,1,1.0,1.0,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,52,1,23,33395,33130,33242,1
55,18,20.30909091,0,-0.03636363636,2947,54.57407407,19256,377.5686275,0,0,0,0,0,1292,0,425,0,0,0,0,0,0,0.0,0.0,0.0,0,55,55,0,7,55,55,0.0,1.0,1,0.0,0.1272727273,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,46,1,18,34134,33868,33981,1
55,18,22.23636364,0,-0.03636363636,3052,55.49090909,3129,61.35294118,0,0,0,0,578,0,133,0,0,0,0,0,0,0,0.0,0.0,0.0,4,55,59,59,59,59,59,0.06779661017,0.9322033898,1,1.0,1.0,1.0,1.0,155.0,0.0,0.0,0,0,0,0,0,49,0,18,35462,35184,35309,1
73,24,17.54794521,0,-0.04109589041,3401,50.01470588,3642,53.55882353,0,0,0,0,628,0,183,0,0,0,0,0,0,0,0.0,0.0,0.0,1,73,74,74,74,74,74,0.01351351351,0.9864864865,1,1.0,1.0,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,46,2,18,39321,39020,39168,1
63,17,18.71428571,0,-0.04761904762,3238,52.22580645,3170,57.63636364,0,0,0,0,626,1,147,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,66,66,66,6,66,0.04545454545,0.0,1,1.0,1.0,0.09090909091,1.0,156.0,0.0,0.0,0,0,0,0,0,44,1,21,41234,40958,41081,1
65,22,18.90769231,0,-0.04615384615,3065,51.08333333,24846,421.1186441,0,0,1,0,606,1505,159,490,0,0,0,0,0,0,0.0,0.0,0.0,2,65,67,2,10,67,67,0.02985074627,0.9701492537,1,0.02985074627,0.1492537313,1.0,1.0,155.0,0.0,0.0,0,0,0,0,0,50,0,20,29384,29124,29239,1
60,20,21.31666667,0,-0.05,2972,57.15384615,20768,384.5925926,0,0,0,0,0,1637,0,449,0,0,0,0,0,0,0.0,0.0,0.0,2,60,62,2,10,62,62,0.03225806452,0.9677419355,1,0.03225806452,0.1612903226,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,43,1,17,23846,23730,23705,1
76,26,16.75,0,-0.03947368421,3312,48.70588235,23360,333.7142857,0,0,0,0,0,1632,0,477,0,0,0,0,0,0,0.0,0.0,0.0,2,76,78,2,10,78,78,0.02564102564,0.9743589744,1,0.02564102564,0.1282051282,1.0,1.0,155.0,0.0,0.0,0,0,0,0,0,45,1,20,30818,30558,30665,1
75,22,17.49333333,0,-0.04,3654,50.05479452,27795,397.0714286,0,0,0,0,624,1631,187,523,0,1,1,0,0,0,0.0,0.0,0.0,5,76,80,4,12,80,80,0.0625,0.95,1,0.05,0.15,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,44,1,19,27437,27144,27292,1
72,27,5357345.236,0,-0.05555555556,3281,46.21126761,23031,348.9545455,0,0,0,0,0,1533,1,487,0,0,0,0,0,0,0.0,0.0,0.0,1,72,73,2,10,73,73,0.01369863014,0.9863013699,1,0.02739726027,0.1369863014,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,53,0,22,25234,24940,25085,1
68,25,18.51470588,0,-0.04411764706,3118,51.1147541,22371,360.8225806,0,0,0,1,0,1564,0,636,0,0,0,0,0,0,0.0,0.0,0.0,4,68,72,4,12,72,72,0.05555555556,0.9444444444,1,0.05555555556,0.1666666667,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,45,1,17,25648,25488,25519,1
63,22,18.76190476,0,-0.04761904762,3201,50.80952381,21958,372.1694915,0,1,0,1,0,1578,0,455,0,0,0,0,0,0,0.0,0.0,0.0,5,64,68,4,12,68,68,0.07352941176,0.9411764706,1,0.05882352941,0.1764705882,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,49,0,22,31336,31110,31191,1
55,56,57.0,58,59.0,60,61.0,62,63.0,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78.0,79.0,80.0,81,82,83,84,85,86,87,88.0,89.0,90,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98,99,100,101,102,103,104,105,106,107,108,0
45,17,10.55555556,0,202.8444444,1694,38.5,9129,212.3023256,0,670,3161,46,716,887,104,671,125,184,257,53,95,53,0.030372493,0.054441261,0.030372493,5,21,30,2,0,3,2,7.0,4.0,9,0.042553191,0.0,0.063829787,0.042553191,0.14893617,0.085106383,0.191489362,138,389,221,26,24,116,0,121,87,0,8,0
47,19,11.53191489,0,242.2340426,2074,44.12765957,11385,242.2340426,0,840,3761,51,1011,1030,117,766,148,337,394,77,123,77,0.036167215,0.057773603,0.036167215,12,77,72,0,0,0,0,4.0,2.0,6,0.0,0.0,0.0,0.0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,0
40,14,14.725,0,288.225,1932,48.3,11529,288.225,0,1050,3996,45,784,1241,100,645,138,369,338,51,89,51,0.026113671,0.045570917,0.026113671,5,6,30,0,0,0,0,4.0,2.0,5,0.0,0.0,0.0,0.0,0.1,0.05,0.125,137,395,222,26,27,118,0,120,88,0,8,0
